index,Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,index,Artist,artist_start_year,artist_end_year,artist_career_length,years_since_debut
3941,Bonny Portmore,Loreena McKennitt,1989,261239,4,0.231,0.126,7,-10.494,1,0.0342,0.926,0.000425,0.0896,0.0778,146.165,30,Folk,1579,Loreena McKennitt,1989,1998,9,0
3942,Marco Polo,Loreena McKennitt,1990,315360,4,0.477,0.508,9,-10.527,1,0.0412,0.00683,0.245,0.106,0.5,167.925,34,Folk,1579,Loreena McKennitt,1989,1998,9,1
3943,Greensleeves,Loreena McKennitt,1991,265853,4,0.313,0.22,9,-13.116,0,0.0305,0.786,0.0764,0.101,0.0502,104.274,25,Folk,1579,Loreena McKennitt,1989,1998,9,2
3944,Snow,Loreena McKennitt,1994,338306,5,0.325,0.244,4,-9.279,0,0.0363,0.797,4.37e-05,0.0755,0.0698,106.65,16,Folk,1579,Loreena McKennitt,1989,1998,9,5
3945,The Highwayman - Live,Loreena McKennitt,1994,569666,4,0.477,0.326,0,-12.457,1,0.0287,0.588,0.00292,0.902,0.207,90.861,9,Folk,1579,Loreena McKennitt,1989,1998,9,5
3946,The Mystic's Dream,Loreena McKennitt,1994,462840,4,0.43,0.383,7,-11.162,1,0.032,0.697,0.227,0.0715,0.117,111.045,39,Folk,1579,Loreena McKennitt,1989,1998,9,5
3947,Dante's Prayer,Loreena McKennitt,1997,431173,4,0.159,0.18,0,-18.472,1,0.0324,0.974,0.372,0.0726,0.0573,85.261,36,Folk,1579,Loreena McKennitt,1989,1998,9,8
3948,The Lady Of Shalott,Loreena McKennitt,1997,693786,3,0.293,0.183,11,-12.761,0,0.0321,0.815,7.45e-06,0.0963,0.0985,98.333,27,Folk,1579,Loreena McKennitt,1989,1998,9,8
3949,The Mummers' Dance,Loreena McKennitt,1997,367440,4,0.548,0.456,0,-11.53,0,0.0289,0.425,0.116,0.0892,0.294,120.274,43,Folk,1579,Loreena McKennitt,1989,1998,9,8
3950,A Father And A Son,Loudon Wainwright III,1972,201093,4,0.564,0.133,2,-17.259,1,0.0532,0.85,1.71e-06,0.0657,0.517,83.028,21,Folk,1593,Loudon Wainwright III,1972,2003,31,0
3951,Dead Skunk,Loudon Wainwright III,1972,185733,4,0.633,0.655,7,-11.514,1,0.0312,0.617,2.79e-06,0.113,0.967,146.868,39,Folk,1593,Loudon Wainwright III,1972,2003,31,0
3952,Rufus Is A Tit Man,Loudon Wainwright III,1972,146133,4,0.546,0.533,7,-12.258,1,0.0845,0.86,6.97e-06,0.926,0.617,83.883,9,Folk,1593,Loudon Wainwright III,1972,2003,31,0
3953,The Swimming Song,Loudon Wainwright III,1972,147466,4,0.604,0.585,9,-11.288,1,0.0329,0.408,0.0886,0.109,0.67,92.521,53,Folk,1593,Loudon Wainwright III,1972,2003,31,0
3954,Motel Blues,Loudon Wainwright III,1973,167280,4,0.464,0.203,7,-17.867,1,0.04,0.678,2.57e-05,0.185,0.311,156.274,41,Folk,1593,Loudon Wainwright III,1972,2003,31,1
3955,New Paint,Loudon Wainwright III,1973,180400,4,0.635,0.194,7,-17.722,1,0.0512,0.809,0.0,0.102,0.582,130.019,26,Folk,1593,Loudon Wainwright III,1972,2003,31,1
3956,The Man Who Couldn't Cry,Loudon Wainwright III,1973,375026,4,0.687,0.202,2,-13.955,1,0.0391,0.84,3.55e-06,0.0962,0.381,130.313,27,Folk,1593,Loudon Wainwright III,1972,2003,31,1
3957,Old Friend,Loudon Wainwright III,1974,173106,4,0.393,0.295,9,-18.552,1,0.101,0.869,0.0,0.911,0.433,166.5,5,Folk,1593,Loudon Wainwright III,1972,2003,31,2
3958,You Can't Fail Me Now,Loudon Wainwright III,2003,225866,4,0.546,0.441,2,-7.989,1,0.0277,0.626,0.00052,0.115,0.246,119.488,26,Folk,1593,Loudon Wainwright III,1972,2003,31,31
3959,The Fabled Hare,Maddy Prior,1996,705640,4,0.335,0.12,7,-17.919,0,0.0356,0.841,0.000449,0.0797,0.101,83.209,7,Folk,1633,Maddy Prior,1996,1996,0,0
3960,Who Would True Valour See (John Bunyan),Maddy Prior,1996,189026,4,0.68,0.192,0,-12.231,1,0.0282,0.42,3.08e-06,0.124,0.429,84.411,18,Folk,1633,Maddy Prior,1996,1996,0,0
3961,Deep Shady Grove,Mike Seeger,1964,251240,4,0.453,0.365,10,-14.925,1,0.0294,0.838,0.0,0.209,0.347,101.564,0,Folk,1770,Mike Seeger,1964,1964,0,0
3962,Little Birdie,Mike Seeger,1964,202960,4,0.428,0.232,2,-18.741,0,0.0349,0.978,0.222,0.13,0.59,125.281,1,Folk,1770,Mike Seeger,1964,1964,0,0
3963,Cotton Fields,Odetta,1963,205000,4,0.528,0.262,2,-14.477,1,0.0368,0.701,3.71e-05,0.305,0.889,117.61,3,Folk,1880,Odetta,1963,1963,0,0
3964,He's Got the Whole World in His Hands,Odetta,1963,114466,4,0.635,0.225,9,-11.899,1,0.0514,0.67,2.59e-06,0.126,0.888,119.978,14,Folk,1880,Odetta,1963,1963,0,0
3965,House Of The Rising Sun,Odetta,1963,198066,4,0.455,0.135,5,-11.611,0,0.0326,0.934,0.0,0.111,0.342,100.516,3,Folk,1880,Odetta,1963,1963,0,0
3966,If I Had A Hammer,Odetta,1963,113666,4,0.409,0.438,8,-12.395,1,0.0727,0.681,0.164,0.969,0.842,89.462,3,Folk,1880,Odetta,1963,1963,0,0
3967,John Henry,Odetta,1963,188346,4,0.564,0.484,6,-1.328,1,0.0364,0.855,0.000388,0.158,0.413,136.606,3,Folk,1880,Odetta,1963,1963,0,0
3968,Joshua Fit The Battle Of Jericho,Odetta,1963,140106,4,0.596,0.32,9,-11.839,0,0.0759,0.763,0.024,0.809,0.81,121.197,2,Folk,1880,Odetta,1963,1963,0,0
3969,Santy Anno,Odetta,1963,115960,4,0.533,0.335,10,-6.605,0,0.0296,0.806,0.00226,0.104,0.878,127.243,13,Folk,1880,Odetta,1963,1963,0,0
3970,Spoken Introduction: Sometimes I Feel Like A Motherless Child,Odetta,1963,202710,5,0.189,0.0312,11,-23.739,0,0.0468,0.989,0.208,0.796,0.186,174.677,3,Folk,1880,Odetta,1963,1963,0,0
3971,The Midnight Special,Odetta,1963,157746,4,0.498,0.259,0,-7.132,1,0.0291,0.697,0.16,0.24,0.707,107.261,12,Folk,1880,Odetta,1963,1963,0,0
3972,Water Boy,Odetta,1963,218840,4,0.413,0.186,4,-4.249,1,0.0376,0.934,7.26e-06,0.315,0.31,81.038,5,Folk,1880,Odetta,1963,1963,0,0
3973,The Ballad of Accounting,Peggy Seeger,1961,163333,4,0.634,0.146,1,-21.282,0,0.166,0.948,0.0,0.0938,0.555,125.565,12,Folk,1971,Peggy Seeger,1961,1961,0,0
3974,The First Time Ever I Saw Your Face,Peggy Seeger,1961,159346,4,0.393,0.0451,2,-21.082,1,0.0442,0.945,0.000917,0.127,0.347,140.798,13,Folk,1971,Peggy Seeger,1961,1961,0,0
3975,Goodbye Pork Pie Hat (Live at the Royal Festival Hall 1968 with Intro),Pentangle,1969,228666,3,0.446,0.153,2,-23.719,1,0.038,0.757,0.827,0.639,0.16,99.643,22,Folk,1973,Pentangle,1969,1970,1,0
3976,Light Flight,Pentangle,1969,194333,3,0.516,0.494,7,-11.077,0,0.0311,0.403,0.0102,0.112,0.814,89.452,34,Folk,1973,Pentangle,1969,1970,1,0
3977,Let No Man Steal Your Thyme,Pentangle,1970,164533,4,0.548,0.287,9,-15.676,0,0.0376,0.663,0.000159,0.0951,0.22,109.889,22,Folk,1973,Pentangle,1969,1970,1,1
3978,Coal Creek March,Pete Seeger,1961,75186,4,0.255,0.429,4,-19.011,1,0.0429,0.924,0.96,0.112,0.693,143.763,9,Folk,1981,Pete Seeger,1961,1967,6,0
3979,Guantanamera,Pete Seeger,1961,277066,4,0.538,0.266,1,-17.13,1,0.0449,0.876,0.0,0.5,0.374,111.593,21,Folk,1981,Pete Seeger,1961,1967,6,0
3980,I Know an Old Lady (Who Swallowed a Fly),Pete Seeger,1961,180200,5,0.617,0.152,10,-18.372,1,0.653,0.889,0.0,0.106,0.61,173.58,29,Folk,1981,Pete Seeger,1961,1967,6,0
3981,If I Had a Hammer (Hammer Song),Pete Seeger,1961,116333,4,0.572,0.38,0,-10.41,1,0.034,0.847,0.000157,0.163,0.87,80.6,26,Folk,1981,Pete Seeger,1961,1967,6,0
3982,John Brown's Body,Pete Seeger,1961,181906,4,0.631,0.434,8,-9.369,1,0.0384,0.839,0.0,0.0873,0.815,117.07,29,Folk,1981,Pete Seeger,1961,1967,6,0
3983,Which Side are You On?,Pete Seeger,1961,129800,4,0.496,0.245,7,-13.473,0,0.0424,0.992,3.27e-06,0.0926,0.592,175.392,39,Folk,1981,Pete Seeger,1961,1967,6,0
3984,"Turn,Turn,Turn",Pete Seeger,1962,166573,3,0.48,0.115,10,-16.97,1,0.0655,0.975,0.00586,0.688,0.61,137.064,22,Folk,1981,Pete Seeger,1961,1967,6,1
3985,Little Boxes,Pete Seeger,1963,114773,3,0.775,0.194,5,-16.883,1,0.0731,0.941,0.00685,0.195,0.783,120.764,39,Folk,1981,Pete Seeger,1961,1967,6,2
3986,The Bells of Rhymney - Live,Pete Seeger,1963,318520,4,0.373,0.277,9,-16.024,1,0.0353,0.89,1e-06,0.977,0.14,85.503,11,Folk,1981,Pete Seeger,1961,1967,6,2
3987,We Shall Overcome,Pete Seeger,1963,282226,4,0.406,0.183,0,-14.177,1,0.0313,0.829,0.0,0.113,0.337,126.352,30,Folk,1981,Pete Seeger,1961,1967,6,2
3988,Where Have All the Flowers Gone? - Live,Pete Seeger,1963,113693,1,0.44,0.104,10,-18.625,1,0.0685,0.945,3.21e-06,0.186,0.214,89.869,23,Folk,1981,Pete Seeger,1961,1967,6,2
3989,Waist Deep In The Big Muddy - Live,Pete Seeger,1967,174666,4,0.758,0.304,5,-13.482,0,0.396,0.821,1.08e-06,0.0929,0.621,89.481,21,Folk,1981,Pete Seeger,1961,1967,6,6
3990,500 Miles,"Peter,Paul and Mary",1962,162933,4,0.436,0.0695,7,-19.735,1,0.0298,0.858,0.0,0.107,0.255,97.128,50,Folk,1993,"Peter,Paul and Mary",1962,1970,8,0
3991,If I Had a Hammer - 2004 Remaster,"Peter,Paul and Mary",1962,121053,4,0.628,0.423,9,-11.231,1,0.0365,0.326,0.0,0.16,0.353,100.082,43,Folk,1993,"Peter,Paul and Mary",1962,1970,8,0
3992,Lemon Tree - 2004 Remaster,"Peter,Paul and Mary",1962,177773,4,0.415,0.15,4,-18.762,0,0.0513,0.849,0.0,0.13,0.223,163.726,33,Folk,1993,"Peter,Paul and Mary",1962,1970,8,0
3993,Blowin' in the Wind,"Peter,Paul and Mary",1963,177360,4,0.381,0.0848,5,-17.77,1,0.032,0.834,0.0,0.112,0.557,155.036,52,Folk,1993,"Peter,Paul and Mary",1962,1970,8,1
3994,"Puff,the Magic Dragon","Peter,Paul and Mary",1963,206866,4,0.507,0.088,9,-23.309,1,0.0343,0.51,0.0,0.0984,0.398,144.226,57,Folk,1993,"Peter,Paul and Mary",1962,1970,8,1
3995,The Times They Are A-Changin' - Live Version; 2003 Remaster,"Peter,Paul and Mary",1963,192373,3,0.479,0.269,7,-13.801,1,0.0282,0.577,1.99e-05,0.617,0.581,147.112,32,Folk,1993,"Peter,Paul and Mary",1962,1970,8,1
3996,This Land Is Your Land,"Peter,Paul and Mary",1963,146160,4,0.642,0.427,9,-8.327,1,0.0262,0.394,0.0,0.134,0.702,100.972,32,Folk,1993,"Peter,Paul and Mary",1962,1970,8,1
3997,Where Have All the Flowers Gone - 2004 Remaster,"Peter,Paul and Mary",1963,236906,1,0.4,0.0887,10,-16.696,1,0.0328,0.911,2.58e-05,0.108,0.286,106.967,42,Folk,1993,"Peter,Paul and Mary",1962,1970,8,1
3998,Leaving on a Jet Plane,"Peter,Paul and Mary",1969,207240,4,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,57,Folk,1993,"Peter,Paul and Mary",1962,1970,8,7
3999,Ballad of William Worthy,Phil Ochs,1964,131039,4,0.685,0.22,2,-14.722,1,0.0639,0.561,0.0,0.167,0.873,124.144,21,Folk,1999,Phil Ochs,1964,1966,2,0
4000,Power and Glory,Phil Ochs,1964,136360,4,0.595,0.321,9,-12.828,0,0.115,0.741,0.0,0.587,0.662,138.107,27,Folk,1999,Phil Ochs,1964,1966,2,0
4001,Draft Dodger Rag,Phil Ochs,1965,131266,4,0.729,0.168,5,-13.265,1,0.145,0.85,0.0,0.0934,0.692,96.166,32,Folk,1999,Phil Ochs,1964,1966,2,1
4002,I Ain't Marching Anymore,Phil Ochs,1965,154893,4,0.498,0.492,6,-6.517,1,0.0458,0.633,0.0,0.0762,0.662,131.104,35,Folk,1999,Phil Ochs,1964,1966,2,1
4003,When I'm Gone,Phil Ochs,1965,253573,4,0.404,0.093,3,-19.036,1,0.0486,0.95,7.53e-05,0.717,0.244,80.224,39,Folk,1999,Phil Ochs,1964,1966,2,1
4004,Changes,Phil Ochs,1966,280800,4,0.357,0.0436,3,-22.425,1,0.0492,0.92,2.08e-05,0.694,0.243,64.046,29,Folk,1999,Phil Ochs,1964,1966,2,2
4005,"Love Me,I'm a Liberal",Phil Ochs,1966,276133,4,0.525,0.15,4,-17.785,1,0.0639,0.885,0.0,0.849,0.502,96.177,28,Folk,1999,Phil Ochs,1964,1966,2,2
4006,Outside Of A Small Circle Of Friends,Phil Ochs,1966,220933,4,0.639,0.524,6,-12.094,1,0.0526,0.701,0.0,0.0753,0.948,100.56,21,Folk,1999,Phil Ochs,1964,1966,2,2
4007,Eight Frames a Second,Ralph McTell,1969,204933,4,0.268,0.145,2,-17.5,1,0.0297,0.591,0.129,0.129,0.206,92.695,7,Folk,2072,Ralph McTell,1969,1974,5,0
4008,Michael in the Garden,Ralph McTell,1969,263866,4,0.475,0.27,4,-15.077,1,0.027,0.363,0.0,0.126,0.416,99.168,4,Folk,2072,Ralph McTell,1969,1974,5,0
4009,Streets of London,Ralph McTell,1969,248586,4,0.396,0.295,4,-15.126,1,0.0343,0.625,7.6e-05,0.0989,0.187,155.531,55,Folk,2072,Ralph McTell,1969,1974,5,0
4010,Summer Lightning,Ralph McTell,1971,154400,4,0.627,0.193,10,-17.733,0,0.0302,0.892,0.232,0.184,0.3,103.778,37,Folk,2072,Ralph McTell,1969,1974,5,2
4011,From Clare to here,Ralph McTell,1974,353413,3,0.495,0.198,9,-17.072,0,0.154,0.692,0.0,0.719,0.493,131.896,20,Folk,2072,Ralph McTell,1969,1974,5,5
4012,The Girl from the Hiring Fair,Ralph McTell,1974,289200,4,0.286,0.274,4,-14.366,0,0.0318,0.88,0.0366,0.105,0.333,153.061,15,Folk,2072,Ralph McTell,1969,1974,5,5
4013,How Long Blues - Live,Ramblin' Jack Elliott,1962,299506,4,0.588,0.0917,5,-21.25,0,0.0421,0.807,0.0203,0.724,0.157,79.01,0,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,0
4014,Old Blue,Ramblin' Jack Elliott,1962,196066,3,0.527,0.203,1,-11.275,1,0.0347,0.812,3.52e-05,0.123,0.175,130.398,3,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,0
4015,Hard Travelin',Ramblin' Jack Elliott,1963,152893,4,0.663,0.343,8,-15.86,1,0.0348,0.711,0.0,0.0837,0.877,124.206,10,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,1
4016,San Francisco Bay Blues,Ramblin' Jack Elliott,1963,177440,4,0.523,0.371,0,-9.328,1,0.0338,0.957,4.51e-05,0.179,0.361,99.4,15,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,1
4017,The Buffalo Skinners,Ramblin' Jack Elliott,1963,235266,4,0.535,0.119,11,-14.418,0,0.0522,0.941,0.0,0.126,0.281,75.571,2,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,1
4018,"Don't Think Twice,It's All Right",Ramblin' Jack Elliott,1964,247333,4,0.473,0.159,3,-21.813,1,0.0553,0.793,2.82e-06,0.726,0.36,86.714,8,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,2
4019,912 Greens,Ramblin' Jack Elliott,1965,443533,4,0.449,0.218,10,-15.033,1,0.0323,0.78,0.617,0.11,0.432,105.44,16,Folk,2074,Ramblin' Jack Elliott,1962,1965,3,3
4020,1952 Vincent Black Lightning,Richard Thompson,1991,283493,4,0.488,0.209,10,-19.549,1,0.0369,0.374,5.05e-06,0.103,0.362,120.63,47,Folk,2120,Richard Thompson,1991,1999,8,0
4021,Singapore Sadie,Richard Thompson,1991,234117,3,0.4,0.551,4,-8.669,0,0.03,0.459,0.0261,0.182,0.253,183.808,27,Folk,2120,Richard Thompson,1991,1999,8,0
4022,Tear-Stained Letter,Richard Thompson,1991,282266,4,0.41,0.812,2,-11.578,1,0.0396,0.116,0.00271,0.0755,0.783,183.039,16,Folk,2120,Richard Thompson,1991,1999,8,0
4023,The Day That I Give In,Richard Thompson,1991,194432,4,0.697,0.646,0,-7.798,1,0.0262,0.65,0.543,0.251,0.57,115.994,25,Folk,2120,Richard Thompson,1991,1999,8,0
4024,Freeze,Richard Thompson,1994,199725,3,0.411,0.872,7,-7.382,1,0.0618,0.194,0.105,0.301,0.823,95.728,27,Folk,2120,Richard Thompson,1991,1999,8,3
4025,Maybe,Richard Thompson,1994,243492,4,0.689,0.841,7,-6.009,1,0.0418,0.0173,0.00172,0.349,0.953,74.93,23,Folk,2120,Richard Thompson,1991,1999,8,3
4026,The Fear Never Leaves You,Richard Thompson,1994,285136,4,0.721,0.559,11,-9.006,0,0.0308,0.751,0.606,0.0979,0.625,120.029,26,Folk,2120,Richard Thompson,1991,1999,8,3
4027,Trust,Richard Thompson,1994,257647,4,0.673,0.745,4,-8.146,0,0.0483,0.489,0.168,0.341,0.573,98.975,24,Folk,2120,Richard Thompson,1991,1999,8,3
4028,Turnstile Casanova,Richard Thompson,1994,203718,4,0.549,0.906,0,-6.248,1,0.0305,0.093,0.00568,0.39,0.808,152.175,23,Folk,2120,Richard Thompson,1991,1999,8,3
4029,What’s Left To Lose,Richard Thompson,1999,249575,4,0.675,0.718,0,-7.769,1,0.0286,0.151,0.19,0.393,0.539,115.063,21,Folk,2120,Richard Thompson,1991,1999,8,8
4030,Fotheringay - Acoustic Version,Sandy Denny,1971,185853,4,0.489,0.0643,9,-30.576,0,0.0408,0.86,0.272,0.111,0.375,122.878,22,Folk,2225,Sandy Denny,1971,1973,2,0
4031,It'll Take A Long Time,Sandy Denny,1971,314800,4,0.504,0.387,6,-9.384,0,0.0259,0.517,0.6,0.203,0.378,127.882,33,Folk,2225,Sandy Denny,1971,1973,2,0
4032,The Lady,Sandy Denny,1971,240320,4,0.175,0.17,0,-12.049,1,0.0317,0.939,0.272,0.15,0.0594,89.047,11,Folk,2225,Sandy Denny,1971,1973,2,0
4033,The Sea Captain,Sandy Denny,1971,187586,3,0.68,0.211,9,-12.052,1,0.0308,0.873,0.00297,0.107,0.255,112.436,8,Folk,2225,Sandy Denny,1971,1973,2,0
4034,Bushes And Briars,Sandy Denny,1972,232480,4,0.713,0.399,2,-10.089,1,0.0285,0.839,0.00526,0.172,0.516,131.6,11,Folk,2225,Sandy Denny,1971,1973,2,1
4035,Solo,Sandy Denny,1973,266586,4,0.467,0.36,2,-7.752,1,0.0307,0.185,0.0748,0.121,0.441,64.81,11,Folk,2225,Sandy Denny,1971,1973,2,2
4036,Who Knows Where The Time Goes? - BBC Session - John Peel 11/9/73,Sandy Denny,1973,335626,3,0.399,0.0762,3,-13.789,1,0.0343,0.645,0.000162,0.142,0.146,133.064,33,Folk,2225,Sandy Denny,1971,1973,2,2
4037,Little Sir Hugh - 2009 Remaster,Steeleye Span,1971,284960,4,0.645,0.431,9,-9.802,1,0.0319,0.153,3.03e-05,0.114,0.595,131.9,14,Folk,2371,Steeleye Span,1971,1975,4,0
4038,Long Lankin - 2009 Remaster,Steeleye Span,1971,522599,4,0.445,0.289,2,-11.208,1,0.0305,0.162,9.69e-05,0.0815,0.241,116.646,14,Folk,2371,Steeleye Span,1971,1975,4,0
4039,The Blacksmith,Steeleye Span,1971,219453,4,0.53,0.486,11,-9.3,1,0.0292,0.403,0.00602,0.116,0.903,169.844,28,Folk,2371,Steeleye Span,1971,1975,4,0
4040,The Wife of Ushers Well - 2009 Remaster,Steeleye Span,1971,276186,4,0.64,0.535,7,-7.016,1,0.0385,0.503,0.00251,0.0544,0.569,125.402,13,Folk,2371,Steeleye Span,1971,1975,4,0
4041,Thomas the Rhymer,Steeleye Span,1971,192560,4,0.565,0.339,2,-15.824,1,0.0719,0.678,0.023,0.0785,0.578,133.383,14,Folk,2371,Steeleye Span,1971,1975,4,0
4042,Gaudete - 2009 Remaster,Steeleye Span,1973,147106,3,0.486,0.223,1,-15.365,0,0.0377,0.968,6.64e-05,0.887,0.425,69.291,31,Folk,2371,Steeleye Span,1971,1975,4,2
4043,King Henry - 2009 Remaster,Steeleye Span,1974,432040,4,0.51,0.448,2,-7.423,0,0.0288,0.654,0.000262,0.119,0.523,94.663,18,Folk,2371,Steeleye Span,1971,1975,4,3
4044,All Around My Hat - 2009 Remaster,Steeleye Span,1975,251746,4,0.466,0.691,2,-6.692,1,0.0582,0.666,0.00186,0.172,0.669,141.75,35,Folk,2371,Steeleye Span,1971,1975,4,4
4045,Hares on the Mountain - 2009 Remaster,Steeleye Span,1975,275200,3,0.61,0.452,5,-9.012,1,0.0283,0.138,0.00104,0.106,0.722,111.795,8,Folk,2371,Steeleye Span,1971,1975,4,4
4046,A Dying Cub Fan's Last Request,Steve Goodman,1971,362506,3,0.581,0.333,7,-13.336,1,0.0566,0.641,0.0,0.955,0.54,121.016,18,Folk,2382,Steve Goodman,1971,1984,13,0
4047,City of New Orleans,Steve Goodman,1971,230960,4,0.477,0.797,0,-5.316,1,0.0365,0.0828,0.0,0.185,0.705,88.823,36,Folk,2382,Steve Goodman,1971,1984,13,0
4048,Lincoln Park Pirates,Steve Goodman,1971,215866,3,0.593,0.566,9,-7.868,0,0.0315,0.58,0.0,0.366,0.63,95.92,14,Folk,2382,Steve Goodman,1971,1984,13,0
4049,You Never Even Call Me By My Name,Steve Goodman,1971,259906,4,0.665,0.703,0,-5.872,0,0.0298,0.173,0.0,0.316,0.519,118.216,24,Folk,2382,Steve Goodman,1971,1984,13,0
4050,The Dutchman,Steve Goodman,1977,259560,4,0.473,0.667,7,-9.325,1,0.0357,0.608,4.62e-06,0.221,0.599,83.82,24,Folk,2382,Steve Goodman,1971,1984,13,6
4051,Go Cubs Go (Studio Cut),Steve Goodman,1984,171293,4,0.695,0.601,0,-9.902,1,0.0375,0.252,0.0,0.502,0.903,99.75,34,Folk,2382,Steve Goodman,1971,1984,13,13
4052,You Better Get It While You Can (The Ballad of Carl Martin),Steve Goodman,1984,269866,4,0.719,0.297,9,-13.46,1,0.106,0.438,0.0,0.132,0.616,88.771,11,Folk,2382,Steve Goodman,1971,1984,13,13
4053,Tom's Diner,Suzanne Vega,1984,228306,4,0.86,0.439,6,-12.264,0,0.0495,0.0204,0.0147,0.0465,0.725,99.144,57,Folk,2417,Suzanne Vega,1984,1992,8,0
4054,Left Of Center,Suzanne Vega,1985,215200,4,0.654,0.633,11,-12.796,0,0.0304,0.355,0.0,0.0765,0.737,142.919,36,Folk,2417,Suzanne Vega,1984,1992,8,1
4055,Marlene On The Wall,Suzanne Vega,1985,219173,4,0.608,0.37,6,-15.055,0,0.034,0.597,0.0,0.0987,0.33,112.554,43,Folk,2417,Suzanne Vega,1984,1992,8,1
4056,Small Blue Thing,Suzanne Vega,1985,234653,4,0.389,0.222,8,-16.984,1,0.0335,0.759,0.000297,0.114,0.219,130.772,33,Folk,2417,Suzanne Vega,1984,1992,8,1
4057,Book Of Dreams,Suzanne Vega,1986,203306,4,0.706,0.58,4,-12.03,1,0.0284,0.459,0.00335,0.104,0.867,116.045,23,Folk,2417,Suzanne Vega,1984,1992,8,2
4058,99.9 F,Suzanne Vega,1987,196266,4,0.838,0.468,11,-14.203,1,0.0806,0.0707,0.54,0.081,0.976,138.778,33,Folk,2417,Suzanne Vega,1984,1992,8,3
4059,Gypsy,Suzanne Vega,1987,244066,4,0.439,0.214,9,-17.616,1,0.0327,0.635,1.04e-06,0.286,0.497,74.987,37,Folk,2417,Suzanne Vega,1984,1992,8,3
4060,Luka,Suzanne Vega,1987,231933,4,0.63,0.697,6,-10.654,1,0.0311,0.189,0.000258,0.116,0.796,124.956,61,Folk,2417,Suzanne Vega,1984,1992,8,3
4061,Blood Makes Noise,Suzanne Vega,1992,148106,4,0.599,0.751,11,-12.372,1,0.0352,0.000525,0.659,0.0827,0.905,87.861,37,Folk,2417,Suzanne Vega,1984,1992,8,8
4062,Breaths,Sweet Honey In The Rock,1988,248640,3,0.396,0.0226,7,-27.232,1,0.0382,0.965,2.17e-06,0.701,0.259,110.466,22,Folk,2421,Sweet Honey In The Rock,1988,1988,0,0
4063,Ella's Song,Sweet Honey In The Rock,1988,350200,4,0.476,0.114,1,-19.546,0,0.24,0.894,0.0,0.149,0.439,198.631,21,Folk,2421,Sweet Honey In The Rock,1988,1988,0,0
4064,"Oh My Goodness,Look At This Mess!",Sweet Honey In The Rock,1988,199906,4,0.527,0.471,2,-9.728,1,0.271,0.901,0.0,0.497,0.892,79.257,40,Folk,2421,Sweet Honey In The Rock,1988,1988,0,0
4065,We Are the Ones,Sweet Honey In The Rock,1988,171293,4,0.339,0.351,9,-9.532,1,0.0296,0.905,0.0,0.152,0.339,74.299,16,Folk,2421,Sweet Honey In The Rock,1988,1988,0,0
4066,Talking Union,The Almanac Singers,1941,179133,4,0.681,0.509,8,-11.215,1,0.0846,0.975,1.06e-06,0.289,0.671,110.272,16,Folk,2484,The Almanac Singers,1941,1941,0,0
4067,Which Side are You On?,The Almanac Singers,1941,131466,4,0.496,0.263,7,-12.325,0,0.0408,0.993,3.14e-05,0.0763,0.72,176.134,33,Folk,2484,The Almanac Singers,1941,1941,0,0
4068,I'll Feel a Whole Lot Better,The Byrds,1965,151906,4,0.401,0.888,9,-7.344,1,0.0304,0.0485,0.0,0.334,0.956,135.09,2,Folk,2514,The Byrds,1965,1970,5,0
4069,Mr. Tambourine Man,The Byrds,1965,149466,4,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,61,Folk,2514,The Byrds,1965,1970,5,0
4070,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,1965,229360,4,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,62,Folk,2514,The Byrds,1965,1970,5,0
4071,Eight Miles High,The Byrds,1966,214640,4,0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,49,Folk,2514,The Byrds,1965,1970,5,1
4072,My Back Pages,The Byrds,1966,188240,4,0.558,0.524,4,-10.528,1,0.0339,0.109,0.0,0.17,0.727,123.243,48,Folk,2514,The Byrds,1965,1970,5,1
4073,So You Want to Be a Rock 'N' Roll Star,The Byrds,1967,126160,4,0.37,0.683,2,-8.163,1,0.0387,0.0036,6.32e-06,0.451,0.728,154.044,36,Folk,2514,The Byrds,1965,1970,5,2
4074,Hickory Wind,The Byrds,1968,211173,3,0.444,0.409,7,-11.623,1,0.0283,0.275,0.0075,0.173,0.544,105.172,34,Folk,2514,The Byrds,1965,1970,5,3
4075,Ballad of Easy Rider,The Byrds,1969,124266,4,0.411,0.635,2,-11.645,1,0.0667,0.66,0.0519,0.273,0.755,97.123,41,Folk,2514,The Byrds,1965,1970,5,4
